[1]	train-mlogloss:3.310050 
Will train until train_mlogloss hasn't improved in 10 rounds.

[2]	train-mlogloss:3.119401 
[3]	train-mlogloss:2.982616 
[4]	train-mlogloss:2.873558 
[5]	train-mlogloss:2.783599 
[6]	train-mlogloss:2.707147 
[7]	train-mlogloss:2.641265 
[8]	train-mlogloss:2.583355 
[9]	train-mlogloss:2.532110 
[10]	train-mlogloss:2.486956 
[11]	train-mlogloss:2.445508 
[12]	train-mlogloss:2.408827 
[13]	train-mlogloss:2.374853 
[14]	train-mlogloss:2.344435 
[15]	train-mlogloss:2.315991 
[16]	train-mlogloss:2.288861 
[17]	train-mlogloss:2.264768 
[18]	train-mlogloss:2.242350 
[19]	train-mlogloss:2.221496 
[20]	train-mlogloss:2.202082 
[21]	train-mlogloss:2.184389 
[22]	train-mlogloss:2.167834 
[23]	train-mlogloss:2.152492 
[24]	train-mlogloss:2.136748 
[25]	train-mlogloss:2.122840 
[26]	train-mlogloss:2.109352 
[27]	train-mlogloss:2.096831 
[28]	train-mlogloss:2.084479 
[29]	train-mlogloss:2.073679 
[30]	train-mlogloss:2.062084 
[31]	train-mlogloss:2.052928 
[32]	train-mlogloss:2.042547 
[33]	train-mlogloss:2.033470 
[34]	train-mlogloss:2.025202 
[35]	train-mlogloss:2.016811 
[36]	train-mlogloss:2.008356 
[37]	train-mlogloss:2.000643 
[38]	train-mlogloss:1.992619 
[39]	train-mlogloss:1.985596 
[40]	train-mlogloss:1.979097 
[41]	train-mlogloss:1.971632 
[42]	train-mlogloss:1.965153 
[43]	train-mlogloss:1.958634 
[44]	train-mlogloss:1.952642 
[45]	train-mlogloss:1.946595 
[46]	train-mlogloss:1.939733 
[47]	train-mlogloss:1.933913 
[48]	train-mlogloss:1.928768 
[49]	train-mlogloss:1.923380 
[50]	train-mlogloss:1.918042 
[51]	train-mlogloss:1.912365 
[52]	train-mlogloss:1.906530 
[53]	train-mlogloss:1.901748 
[54]	train-mlogloss:1.896729 
[55]	train-mlogloss:1.891904 
